customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
14a188558af6cd5bc222ca773d395a7f,83203,paranagua,PR
1d2435aa3b858d45c707c9fc25e18779,21760,rio de janeiro,RJ
216ab90e27f18940cfac8f9f02fb4239,12246,sao jose dos campos,SP
26e025af2347c3968f6a578f853a9da2,62270,hidrolandia,CE
4011b7579e894fa929d2de97b4928f41,79091,campo grande,MS
453c2895f29b6d9a47f8cb48e00b024b,01447,sao paulo,SP
4702ba5faa8283e0f6b6a545cdaf8a9f,56870,triunfo,PE
4b384b778ebc0449d0244902bfce7beb,30170,belo horizonte,MG
4e3b6c25502ef69e5c5e54616bf67ed7,01229,sao paulo,SP
5a2e847dd085d36e3ba8916b75e794ed,14090,ribeirao preto,SP
5b71ca52f13f79c2be72b2aad8755c0a,11713,praia grande,SP
7462a753a77ed093330660f7003064c7,03115,sao paulo,SP
7b0eaf68a16e4808e5388c67345033c9,08526,ferraz de vasconcelos,SP
7e4bebe20140a71b34263a659ba1ce11,04431,sao paulo,SP
7e7301841ddb4064c2f3a31e4c154932,24744,sao goncalo,RJ
98a8081d6f922b47f0b48d0b10665047,29645,santa maria de jetiba,ES
a35e6ad969a4298593c504f69c03efb4,12230,sao jose dos campos,SP
bce006e903be688f122a39f45b210090,91760,porto alegre,RS
c85df1c6ef6f7bb605e1c49d34f172ee,78554,sinop,MT
cbe71e4cb0b82b97bbec5cd51e0fa3ea,14407,franca,SP
f00e99f043c33da533ebc107f5a68c4e,72501,brasilia,DF
f31d2c22ddcad145e224e6dc48f349b9,02552,sao paulo,SP
24d9e83fe11e4390b69e1afb2b93f5ee,36302,sao joao del rei,MG
31aa2034dc4b34b06487e22a53b4a07a,59507,alto do rodrigues,RN
346fce1712054d4339be023a27c38f13,77470,formoso do araguaia,TO
58e2253f083d42930c64ca32b510a512,06386,carapicuiba,SP
686c46ddc0828bf3c0af072c44dd96b7,08582,itaquaquecetuba,SP
7ed57df0e6ae22a4f9e0250d52608ad5,29705,colatina,ES
9066d003674f53303ec2ac527e940a5d,75830,mineiros,GO
984503860d8d8dea530666eec07de95c,36204,barbacena,MG
a128eb4a87a5195a3a5dfbdc3426c834,89225,joinville,SC
a80a048ab08d27168131328d4e2fde1c,13150,cosmopolis,SP
bbf65e7823171a84e70a495dd6c34ceb,11030,santos,SP
bcf0a5f0f3ec8639f940749aab360d8f,30570,belo horizonte,MG
d970a2354b55cfb67fa5840b9b4936ed,81690,curitiba,PR
d970a2354b55cfb67fa5840b9b4936ed,85802,cascavel,PR
e7ea4c3049b0ffcb326d8fcf44a06c05,40296,salvador,BA
fc24db02becd484accefaa5af59c18b1,18017,sorocaba,SP
004288347e5e88a27ded2bb23747066c,26220,nova iguacu,RJ
11395124061744bf276aefd8073f3105,03517,sao paulo,SP
200d8b1f16d0cc9600022fdc99987a7f,12230,sao jose dos campos,SP
